Date,Category,Demand,Predicted_Demand
11/12/2023,Electronics,95,101.31
11/13/2023,Electronics,35,93.67
11/14/2023,Electronics,122,104.61
11/15/2023,Electronics,90,82.52
11/16/2023,Electronics,164,111.86
11/17/2023,Electronics,102,92.25
11/18/2023,Electronics,106,103.69
11/19/2023,Electronics,127,111.69
11/20/2023,Electronics,132,116.44
11/21/2023,Electronics,56,88.14
11/22/2023,Electronics,100,94.3
11/23/2023,Electronics,71,74.49
11/24/2023,Electronics,56,74.42
11/25/2023,Electronics,107,92.4
11/26/2023,Electronics,148,132.71
11/27/2023,Electronics,88,89.81
11/28/2023,Electronics,139,108.17
11/29/2023,Electronics,148,129.03
11/30/2023,Electronics,99,100.7
12/1/2023,Electronics,109,113.46
12/2/2023,Electronics,160,134.63
12/3/2023,Electronics,119,116
12/4/2023,Electronics,73,137.37
12/5/2023,Electronics,24,86.61
12/6/2023,Electronics,142,113.28
12/7/2023,Electronics,131,118.65
12/8/2023,Electronics,147,132.39
12/9/2023,Electronics,99,90.5
12/10/2023,Electronics,127,102.31
12/11/2023,Electronics,67,88.27
12/12/2023,Electronics,161,167.72
12/13/2023,Electronics,40,90.51
12/14/2023,Electronics,75,115.56
12/15/2023,Electronics,69,88.32
12/16/2023,Electronics,70,71.41
12/17/2023,Electronics,36,75.26
12/18/2023,Electronics,109,95.89
12/19/2023,Electronics,118,89.66
12/20/2023,Electronics,104,81.14
12/21/2023,Electronics,136,100.59
12/22/2023,Electronics,64,95.51
12/23/2023,Electronics,89,81.02
12/24/2023,Electronics,147,135.99
12/25/2023,Electronics,72,116.09
12/26/2023,Electronics,132,115.37
12/27/2023,Electronics,51,91.71
12/28/2023,Electronics,73,78.35
12/29/2023,Electronics,90,86.35
12/30/2023,Electronics,54,61.96
12/31/2023,Electronics,60,50.61
1/1/2024,Electronics,62,41.84
1/2/2024,Electronics,31,54.16
1/3/2024,Electronics,52,69.13
1/4/2024,Electronics,47,62.72
1/5/2024,Electronics,71,50.32
1/6/2024,Electronics,52,57
1/7/2024,Electronics,71,50.29
1/8/2024,Electronics,28,56.6
1/9/2024,Electronics,75,69.31
1/10/2024,Electronics,98,62.58
1/11/2024,Electronics,141,88.89
1/12/2024,Electronics,83,73.83
1/13/2024,Electronics,111,100.72
1/14/2024,Electronics,74,73.16
1/15/2024,Electronics,114,100.75
1/16/2024,Electronics,31,63.45
1/17/2024,Electronics,88,84.94
1/18/2024,Electronics,86,83.83
1/19/2024,Electronics,90,92.67
1/20/2024,Electronics,141,95.8
1/21/2024,Electronics,109,94.16
1/22/2024,Electronics,218,153.52
1/23/2024,Electronics,68,80.89
1/24/2024,Electronics,98,124.84
1/25/2024,Electronics,137,122.15
1/26/2024,Electronics,72,90.21
1/27/2024,Electronics,99,101.91
1/28/2024,Electronics,139,108.71
1/29/2024,Electronics,112,101.06
1/30/2024,Electronics,111,109.37
9/3/2023,Clothing,140,150.08
9/4/2023,Clothing,90,96.01
9/5/2023,Clothing,115,149.9
9/6/2023,Clothing,122,138.82
9/7/2023,Clothing,67,95.05
9/8/2023,Clothing,112,105.8
9/9/2023,Clothing,145,117.64
9/10/2023,Clothing,92,97.31
9/11/2023,Clothing,90,108.48
9/12/2023,Clothing,107,96.27
9/13/2023,Clothing,110,96.02
9/14/2023,Clothing,123,111.74
9/15/2023,Clothing,118,121.31
9/16/2023,Clothing,73,83.92
9/17/2023,Clothing,163,149.73
9/18/2023,Clothing,77,84.77
9/19/2023,Clothing,126,110.88
9/20/2023,Clothing,128,131.58
9/21/2023,Clothing,105,101.85
9/22/2023,Clothing,89,96.4
9/23/2023,Clothing,134,116.79
9/24/2023,Clothing,187,150.3
9/25/2023,Clothing,40,72.69
9/26/2023,Clothing,119,113.6
9/27/2023,Clothing,124,126.05
9/28/2023,Clothing,89,93.38
9/29/2023,Clothing,151,134.82
9/30/2023,Clothing,50,72.36
10/1/2023,Clothing,116,103.48
10/2/2023,Clothing,123,121.75
10/3/2023,Clothing,64,102.01
10/4/2023,Clothing,242,164.77
10/5/2023,Clothing,185,159.91
10/6/2023,Clothing,97,105.98
10/7/2023,Clothing,67,80.17
10/8/2023,Clothing,191,156.67
10/9/2023,Clothing,128,127.04
10/10/2023,Clothing,161,133.89
10/11/2023,Clothing,110,125.67
10/12/2023,Clothing,141,121.48
10/13/2023,Clothing,95,104.41
10/14/2023,Clothing,184,154.09
10/15/2023,Clothing,114,114.86
10/16/2023,Clothing,54,80.54
10/17/2023,Clothing,80,140.65
10/18/2023,Clothing,156,128.38
10/19/2023,Clothing,43,90.96
10/20/2023,Clothing,154,108.43
10/21/2023,Clothing,90,90.18
10/22/2023,Clothing,106,88.04
10/23/2023,Clothing,153,120.03
10/24/2023,Clothing,89,94.49
10/25/2023,Clothing,185,163.76
10/26/2023,Clothing,144,152.82
10/27/2023,Clothing,66,111.03
10/28/2023,Clothing,192,149.89
10/29/2023,Clothing,92,128.09
10/30/2023,Clothing,91,94.76
10/31/2023,Clothing,61,80.19
11/1/2023,Clothing,87,97.5
11/2/2023,Clothing,61,99.31
11/3/2023,Clothing,95,105.72
11/4/2023,Clothing,85,78.54
11/5/2023,Clothing,94,81.55
11/6/2023,Clothing,97,85.52
11/7/2023,Clothing,153,98.81
11/8/2023,Clothing,19,86.76
11/9/2023,Clothing,99,89.25
11/10/2023,Clothing,111,103.17
11/11/2023,Clothing,115,102.81
11/12/2023,Clothing,157,150.31
11/13/2023,Clothing,147,127.92
11/14/2023,Clothing,113,104.14
11/15/2023,Clothing,104,122.71
11/16/2023,Clothing,66,85.67
11/17/2023,Clothing,139,113.84
11/18/2023,Clothing,119,132.71
11/19/2023,Clothing,92,118.33
11/20/2023,Clothing,21,95.2
11/21/2023,Clothing,180,120.52
11/22/2023,Clothing,116,112.5
11/23/2023,Clothing,54,80.23
11/24/2023,Clothing,68,78.7
11/25/2023,Clothing,75,92.5
11/26/2023,Clothing,131,101.64
11/27/2023,Clothing,121,118.78
11/28/2023,Clothing,58,68.4
11/29/2023,Clothing,62,91.85
11/30/2023,Clothing,165,108.9
12/1/2023,Clothing,156,142.08
12/2/2023,Clothing,83,91.85
12/3/2023,Clothing,78,88.53
12/4/2023,Clothing,191,182.44
12/5/2023,Clothing,127,129.79
12/6/2023,Clothing,114,134.51
12/7/2023,Clothing,154,137.61
12/8/2023,Clothing,129,132.32
12/9/2023,Clothing,95,106.58
12/10/2023,Clothing,143,124.7
12/11/2023,Clothing,43,65.95
12/12/2023,Clothing,130,152.42
12/13/2023,Clothing,177,157.8
12/14/2023,Clothing,111,130.34
12/15/2023,Clothing,188,136.21
12/16/2023,Clothing,66,96.2
12/17/2023,Clothing,107,106.59
12/18/2023,Clothing,170,156.39
12/19/2023,Clothing,133,151.86
12/20/2023,Clothing,206,146.41
12/21/2023,Clothing,184,220.45
12/22/2023,Clothing,148,182.22
12/23/2023,Clothing,131,162.35
12/24/2023,Clothing,127,195.51
12/25/2023,Clothing,64,99.23
12/26/2023,Clothing,154,132.86
12/27/2023,Clothing,96,119.79
12/28/2023,Clothing,150,162.44
12/29/2023,Clothing,253,139.06
12/30/2023,Clothing,97,108.19
12/31/2023,Clothing,141,135.61
1/1/2024,Clothing,105,142.8
1/2/2024,Clothing,172,147.7
1/3/2024,Clothing,156,183.67
1/4/2024,Clothing,115,117.88
1/5/2024,Clothing,62,103.84
1/6/2024,Clothing,157,126.88
1/7/2024,Clothing,132,147.33
1/8/2024,Clothing,172,129.49
1/9/2024,Clothing,73,97.05
1/10/2024,Clothing,147,118.7
1/11/2024,Clothing,111,110.69
1/12/2024,Clothing,131,134.07
1/13/2024,Clothing,103,134.94
1/14/2024,Clothing,119,111.37
1/15/2024,Clothing,123,126.44
1/16/2024,Clothing,153,143.63
1/17/2024,Clothing,115,114.03
1/18/2024,Clothing,134,143.52
1/19/2024,Clothing,39,68.84
1/20/2024,Clothing,120,148.27
1/21/2024,Clothing,121,117.07
1/22/2024,Clothing,147,139.68
1/23/2024,Clothing,71,81.36
1/24/2024,Clothing,150,139.88
1/25/2024,Clothing,91,131.86
1/26/2024,Clothing,144,143.78
1/27/2024,Clothing,125,116.2
1/28/2024,Clothing,114,121.92
1/29/2024,Clothing,64,93.16
1/30/2024,Clothing,119,108.72
9/3/2023,Clothing,87,79.42
9/4/2023,Clothing,118,115.4
9/5/2023,Clothing,168,157.62
9/6/2023,Clothing,175,143.05
9/7/2023,Clothing,133,123.53
9/8/2023,Clothing,105,97.12
9/9/2023,Clothing,126,126.97
9/10/2023,Clothing,57,105.93
9/11/2023,Clothing,164,155.09
9/12/2023,Clothing,98,101.45
9/13/2023,Clothing,152,118.7
9/14/2023,Clothing,101,94.88
9/15/2023,Clothing,72,76.09
9/16/2023,Clothing,65,72.28
9/17/2023,Clothing,59,100.67
9/18/2023,Clothing,143,86.84
9/19/2023,Clothing,92,77.24
9/20/2023,Clothing,165,103.51
9/21/2023,Clothing,71,76.88
9/22/2023,Clothing,91,81.63
9/23/2023,Clothing,173,139.49
9/24/2023,Clothing,110,104.19
9/25/2023,Clothing,96,100.35
9/26/2023,Clothing,146,124.44
9/27/2023,Clothing,87,81.2
9/28/2023,Clothing,133,123.4
9/29/2023,Clothing,91,106.04
9/30/2023,Clothing,110,97.47
10/1/2023,Clothing,88,85.75
10/2/2023,Clothing,179,155.37
10/3/2023,Clothing,86,85.95
10/4/2023,Clothing,99,98.43
10/5/2023,Clothing,148,122.63
10/6/2023,Clothing,174,157.14
10/7/2023,Clothing,67,66.24
10/8/2023,Clothing,114,100.41
10/9/2023,Clothing,87,109.76
10/10/2023,Clothing,145,121.3
10/11/2023,Clothing,191,197.85
10/12/2023,Clothing,76,76.9
10/13/2023,Clothing,57,74.59
10/14/2023,Clothing,67,70.2
10/15/2023,Clothing,80,75.51
10/16/2023,Clothing,76,74.64
10/17/2023,Clothing,230,143.27
10/18/2023,Clothing,108,80.9
10/19/2023,Clothing,114,114.29
10/20/2023,Clothing,150,118.78
10/21/2023,Clothing,140,105.28
10/22/2023,Clothing,105,98.43
10/23/2023,Clothing,167,149.65
10/24/2023,Clothing,80,89.12
10/25/2023,Clothing,150,150.66
10/26/2023,Clothing,87,90.52
10/27/2023,Clothing,82,94.91
10/28/2023,Clothing,131,120.76
10/29/2023,Clothing,174,136.45
10/30/2023,Clothing,86,86.17
10/31/2023,Clothing,106,98.2
11/1/2023,Clothing,119,100.86
11/2/2023,Clothing,113,111.65
11/3/2023,Clothing,70,90.99
11/4/2023,Clothing,86,82.73
11/5/2023,Clothing,102,86.7
11/6/2023,Clothing,140,105.21
11/7/2023,Clothing,105,95.15
11/8/2023,Clothing,214,161.98
11/9/2023,Clothing,96,87.91
11/10/2023,Clothing,115,103.92
11/11/2023,Clothing,128,126.35
11/12/2023,Clothing,138,124.16
11/13/2023,Clothing,159,125.36
11/14/2023,Clothing,130,134.47
11/15/2023,Clothing,149,134.35
11/16/2023,Clothing,120,108.69
11/17/2023,Clothing,107,94.23
11/18/2023,Clothing,154,137.33
11/19/2023,Clothing,130,159.07
11/20/2023,Clothing,125,113.5
11/21/2023,Clothing,107,108.14
11/22/2023,Clothing,139,124.72
11/23/2023,Clothing,125,134.43
11/24/2023,Clothing,102,99.8
11/25/2023,Clothing,90,92.78
11/26/2023,Clothing,178,137.28
11/27/2023,Clothing,144,162.27
11/28/2023,Clothing,41,92.28
11/29/2023,Clothing,103,95.04
11/30/2023,Clothing,135,115.77
12/1/2023,Clothing,227,185.12
12/2/2023,Clothing,209,178.51
12/3/2023,Clothing,181,127.41
12/4/2023,Clothing,134,122.69
12/5/2023,Clothing,133,131.4
12/6/2023,Clothing,183,201.84
12/7/2023,Clothing,123,123.27
12/8/2023,Clothing,92,103.25
12/9/2023,Clothing,162,137.43
12/10/2023,Clothing,201,151.21
12/11/2023,Clothing,203,144.56
12/12/2023,Clothing,181,189.76
12/13/2023,Clothing,130,144.21
12/14/2023,Clothing,133,141.2
12/15/2023,Clothing,71,103.76
12/16/2023,Clothing,187,156.78
12/17/2023,Clothing,114,112.44
12/18/2023,Clothing,176,137.21
12/19/2023,Clothing,129,145.09
12/20/2023,Clothing,179,109.25
12/21/2023,Clothing,192,162.17
12/22/2023,Clothing,162,157.12
12/23/2023,Clothing,134,118.47
12/24/2023,Clothing,135,133.37
12/25/2023,Clothing,100,105.08
12/26/2023,Clothing,91,91.59
12/27/2023,Clothing,128,110.78
12/28/2023,Clothing,183,125.26
12/29/2023,Clothing,153,107.48
12/30/2023,Clothing,80,80.23
12/31/2023,Clothing,4,84.9
1/1/2024,Clothing,104,99.09
1/2/2024,Clothing,126,109.95
1/3/2024,Clothing,175,121.07
1/4/2024,Clothing,78,79.25
1/5/2024,Clothing,161,115.52
1/6/2024,Clothing,188,129.83
1/7/2024,Clothing,108,102.03
1/8/2024,Clothing,108,124.58
1/9/2024,Clothing,54,90.44
1/10/2024,Clothing,124,105.13
1/11/2024,Clothing,168,132.92
1/12/2024,Clothing,105,109.27
1/13/2024,Clothing,125,118.54
1/14/2024,Clothing,66,71.87
1/15/2024,Clothing,107,85.78
1/16/2024,Clothing,145,113.05
1/17/2024,Clothing,88,82.04
1/18/2024,Clothing,110,107.22
1/19/2024,Clothing,136,110.9
1/20/2024,Clothing,109,99.75
1/21/2024,Clothing,96,91.26
1/22/2024,Clothing,182,141.06
1/23/2024,Clothing,101,99.2
1/24/2024,Clothing,238,149.55
1/25/2024,Clothing,215,169.13
1/26/2024,Clothing,95,104.8
1/27/2024,Clothing,69,85.33
1/28/2024,Clothing,192,173.98
1/29/2024,Clothing,198,147.77
1/30/2024,Clothing,137,133.99
9/3/2023,Electronics,72,80.82
9/4/2023,Electronics,108,111.65
9/5/2023,Electronics,160,120.89
9/6/2023,Electronics,73,95.53
9/7/2023,Electronics,103,112.04
9/8/2023,Electronics,85,92.95
9/9/2023,Electronics,71,80.78
9/10/2023,Electronics,100,93.49
9/11/2023,Electronics,85,97.43
9/12/2023,Electronics,102,88.38
9/13/2023,Electronics,114,109.48
9/14/2023,Electronics,71,91.13
9/15/2023,Electronics,114,111.59
9/16/2023,Electronics,121,103.32
9/17/2023,Electronics,115,114.88
9/18/2023,Electronics,129,118.71
9/19/2023,Electronics,183,164.6
9/20/2023,Electronics,88,108.11
9/21/2023,Electronics,41,83.54
9/22/2023,Electronics,132,137.1
9/23/2023,Electronics,153,157.16
9/24/2023,Electronics,56,74.55
9/25/2023,Electronics,77,79.38
9/26/2023,Electronics,72,71.48
9/27/2023,Electronics,107,98.88
9/28/2023,Electronics,135,142.51
9/29/2023,Electronics,99,111.55
9/30/2023,Electronics,89,89.28
10/1/2023,Electronics,89,86.87
10/2/2023,Electronics,124,116.06
10/3/2023,Electronics,68,79.57
10/4/2023,Electronics,100,115.12
10/5/2023,Electronics,44,63.85
10/6/2023,Electronics,146,108.62
10/7/2023,Electronics,75,106.87
10/8/2023,Electronics,90,79.1
10/9/2023,Electronics,47,61.56
10/10/2023,Electronics,38,62.98
10/11/2023,Electronics,72,101.6
10/12/2023,Electronics,57,52.87
10/13/2023,Electronics,44,66.6
10/14/2023,Electronics,50,48.18
10/15/2023,Electronics,48,44.91
10/16/2023,Electronics,49,41.21
10/17/2023,Electronics,69,70
10/18/2023,Electronics,71,71.8
10/19/2023,Electronics,113,99.36
10/20/2023,Electronics,99,105.34
10/21/2023,Electronics,66,57.64
10/22/2023,Electronics,37,60.82
10/23/2023,Electronics,45,68.69
10/24/2023,Electronics,42,54.76
10/25/2023,Electronics,96,79.27
10/26/2023,Electronics,62,59.71
10/27/2023,Electronics,131,95.53
10/28/2023,Electronics,133,108.55
10/29/2023,Electronics,90,100.24
10/30/2023,Electronics,56,70.01
10/31/2023,Electronics,88,88.35
11/1/2023,Electronics,114,108.66
11/2/2023,Electronics,66,101.15
11/3/2023,Electronics,94,86.36
11/4/2023,Electronics,104,102.95
11/5/2023,Electronics,115,109.05
11/6/2023,Electronics,94,87.28
11/7/2023,Electronics,92,88.01
11/8/2023,Electronics,118,111.54
11/9/2023,Electronics,141,113.87
11/10/2023,Electronics,88,84.78
11/11/2023,Electronics,132,142.73
11/12/2023,Electronics,108,100.05
11/13/2023,Electronics,112,105.38
11/14/2023,Electronics,95,96.12
11/15/2023,Electronics,110,103.18
11/16/2023,Electronics,48,74.03
11/17/2023,Electronics,49,74.97
11/18/2023,Electronics,103,109.8
11/19/2023,Electronics,212,165.81
11/20/2023,Electronics,63,73.57
11/21/2023,Electronics,98,102.04
11/22/2023,Electronics,109,103.64
11/23/2023,Electronics,81,97.25
11/24/2023,Electronics,94,84.57
11/25/2023,Electronics,84,83.9
11/26/2023,Electronics,116,102.22
11/27/2023,Electronics,126,111.3
11/28/2023,Electronics,98,104.43
11/29/2023,Electronics,122,113.88
11/30/2023,Electronics,125,118.88
12/1/2023,Electronics,90,148.27
12/2/2023,Electronics,114,108.82
12/3/2023,Electronics,20,73.54
12/4/2023,Electronics,82,87.09
12/5/2023,Electronics,133,124.69
12/6/2023,Electronics,152,132.03
12/7/2023,Electronics,87,89.65
12/8/2023,Electronics,99,92.42
12/9/2023,Electronics,78,79.54
12/10/2023,Electronics,93,97.55
12/11/2023,Electronics,101,90.92
12/12/2023,Electronics,151,154.52
12/13/2023,Electronics,90,114.46
12/14/2023,Electronics,85,110.77
12/15/2023,Electronics,104,94.42
12/16/2023,Electronics,109,87.28
12/17/2023,Electronics,85,87.71
12/18/2023,Electronics,155,129.3
12/19/2023,Electronics,110,117.56
12/20/2023,Electronics,64,77.08
12/21/2023,Electronics,152,130.04
12/22/2023,Electronics,99,136.53
12/23/2023,Electronics,55,70.74
12/24/2023,Electronics,213,171.61
12/25/2023,Electronics,119,136.8
12/26/2023,Electronics,107,105.68
12/27/2023,Electronics,36,74.53
12/28/2023,Electronics,63,119.49
12/29/2023,Electronics,39,85.44
12/30/2023,Electronics,42,62.22
12/31/2023,Electronics,48,60.12
1/1/2024,Electronics,19,43.05
1/2/2024,Electronics,46,35.58
1/3/2024,Electronics,38,41.2
1/4/2024,Electronics,13,24.32
1/5/2024,Electronics,55,33.77
1/6/2024,Electronics,19,28.82
1/7/2024,Electronics,49,33.01
1/8/2024,Electronics,79,54.65
1/9/2024,Electronics,105,84.55
1/10/2024,Electronics,100,79.44
1/11/2024,Electronics,149,124.27
1/12/2024,Electronics,140,129.64
1/13/2024,Electronics,151,128.78
1/14/2024,Electronics,128,151.63
1/15/2024,Electronics,89,97.83
1/16/2024,Electronics,64,104.67
1/17/2024,Electronics,84,94.08
1/18/2024,Electronics,157,155.7
1/19/2024,Electronics,101,93
1/20/2024,Electronics,135,150.67
1/21/2024,Electronics,162,151.37
1/22/2024,Electronics,91,95.91
1/23/2024,Electronics,35,70.26
1/24/2024,Electronics,126,119.69
1/25/2024,Electronics,89,105.68
1/26/2024,Electronics,67,109.81
1/27/2024,Electronics,114,101.22
1/28/2024,Electronics,108,116.3
1/29/2024,Electronics,76,77.94
1/30/2024,Electronics,84,70.06
9/3/2023,Groceries,240,174.45
9/4/2023,Groceries,31,84.16
9/5/2023,Groceries,82,97
9/6/2023,Groceries,85,93.48
9/7/2023,Groceries,112,79.99
9/8/2023,Groceries,114,108.36
9/9/2023,Groceries,72,79.41
9/10/2023,Groceries,110,84.15
9/11/2023,Groceries,125,105.84
9/12/2023,Groceries,113,103.47
9/13/2023,Groceries,146,123.79
9/14/2023,Groceries,128,126.73
9/15/2023,Groceries,143,133.5
9/16/2023,Groceries,156,151.68
9/17/2023,Groceries,162,152.45
9/18/2023,Groceries,79,86.73
9/19/2023,Groceries,84,83.93
9/20/2023,Groceries,93,96.61
9/21/2023,Groceries,125,134.75
9/22/2023,Groceries,154,117.7
9/23/2023,Groceries,130,147.19
9/24/2023,Groceries,136,121.14
9/25/2023,Groceries,126,123.22
9/26/2023,Groceries,103,107.32
9/27/2023,Groceries,176,172.76
9/28/2023,Groceries,90,86.71
9/29/2023,Groceries,168,158.89
9/30/2023,Groceries,56,78.36
10/1/2023,Groceries,82,81.28
10/2/2023,Groceries,125,121.59
10/3/2023,Groceries,115,132.66
10/4/2023,Groceries,113,113.99
10/5/2023,Groceries,137,123.77
10/6/2023,Groceries,88,77.5
10/7/2023,Groceries,49,73.58
10/8/2023,Groceries,66,70.53
10/9/2023,Groceries,97,93.87
10/10/2023,Groceries,53,91.03
10/11/2023,Groceries,54,73.59
10/12/2023,Groceries,102,88.4
10/13/2023,Groceries,79,75.52
10/14/2023,Groceries,153,88.45
10/15/2023,Groceries,50,64.84
10/16/2023,Groceries,114,90.33
10/17/2023,Groceries,56,82.21
10/18/2023,Groceries,37,62.5
10/19/2023,Groceries,109,96.96
10/20/2023,Groceries,66,78.27
10/21/2023,Groceries,80,68.16
10/22/2023,Groceries,128,98.47
10/23/2023,Groceries,75,95.25
10/24/2023,Groceries,44,69.05
10/25/2023,Groceries,93,71.76
10/26/2023,Groceries,79,74.18
10/27/2023,Groceries,168,100.93
10/28/2023,Groceries,136,123.99
10/29/2023,Groceries,125,124.06
10/30/2023,Groceries,178,115.51
10/31/2023,Groceries,86,87.15
11/1/2023,Groceries,143,133.72
11/2/2023,Groceries,102,124.26
11/3/2023,Groceries,182,156.37
11/4/2023,Groceries,59,117.38
11/5/2023,Groceries,116,132.41
11/6/2023,Groceries,101,102.62
11/7/2023,Groceries,98,89.46
11/8/2023,Groceries,149,133.91
11/9/2023,Groceries,83,80.28
11/10/2023,Groceries,139,119.94
11/11/2023,Groceries,93,92.51
11/12/2023,Groceries,135,113.39
11/13/2023,Groceries,180,155.71
11/14/2023,Groceries,185,165.24
11/15/2023,Groceries,81,82.92
11/16/2023,Groceries,116,124.94
11/17/2023,Groceries,54,77.24
11/18/2023,Groceries,57,75.22
11/19/2023,Groceries,155,164.72
11/20/2023,Groceries,180,131.93
11/21/2023,Groceries,102,114.75
11/22/2023,Groceries,184,130.28
11/23/2023,Groceries,168,150
11/24/2023,Groceries,70,81.82
11/25/2023,Groceries,173,174.23
11/26/2023,Groceries,95,135.82
11/27/2023,Groceries,158,148
11/28/2023,Groceries,113,109.67
11/29/2023,Groceries,78,94.73
11/30/2023,Groceries,146,129.13
12/1/2023,Groceries,150,158.39
12/2/2023,Groceries,118,104.17
12/3/2023,Groceries,121,107.54
12/4/2023,Groceries,101,102.24
12/5/2023,Groceries,132,140.68
12/6/2023,Groceries,111,113.34
12/7/2023,Groceries,130,121.52
12/8/2023,Groceries,125,121.26
12/9/2023,Groceries,79,89.73
12/10/2023,Groceries,100,89.29
12/11/2023,Groceries,99,98.94
12/12/2023,Groceries,198,177.46
12/13/2023,Groceries,69,87.31
12/14/2023,Groceries,181,154.93
12/15/2023,Groceries,136,121.27
12/16/2023,Groceries,103,120.12
12/17/2023,Groceries,158,160.42
12/18/2023,Groceries,138,138.22
12/19/2023,Groceries,159,166.95
12/20/2023,Groceries,80,95.71
12/21/2023,Groceries,100,128.4
12/22/2023,Groceries,183,181.27
12/23/2023,Groceries,43,106.8
12/24/2023,Groceries,113,117.81
12/25/2023,Groceries,59,77.15
12/26/2023,Groceries,129,87.15
12/27/2023,Groceries,57,64.06
12/28/2023,Groceries,93,122.26
12/29/2023,Groceries,56,76.09
12/30/2023,Groceries,76,68.15
12/31/2023,Groceries,38,71.83
1/1/2024,Groceries,54,65.02
1/2/2024,Groceries,126,95.88
1/3/2024,Groceries,79,75.33
1/4/2024,Groceries,56,60.94
1/5/2024,Groceries,96,84.49
1/6/2024,Groceries,145,67.1
1/7/2024,Groceries,56,66.92
1/8/2024,Groceries,74,68.52
1/9/2024,Groceries,143,81.92
1/10/2024,Groceries,135,96.37
1/11/2024,Groceries,90,99.53
1/12/2024,Groceries,91,86.2
1/13/2024,Groceries,128,104.38
1/14/2024,Groceries,118,114.59
1/15/2024,Groceries,51,61.07
1/16/2024,Groceries,132,110.94
1/17/2024,Groceries,159,128.46
1/18/2024,Groceries,163,140.03
1/19/2024,Groceries,98,114.69
1/20/2024,Groceries,174,155.36
1/21/2024,Groceries,197,177.99
1/22/2024,Groceries,68,118.27
1/23/2024,Groceries,81,94.58
1/24/2024,Groceries,127,132.92
1/25/2024,Groceries,169,145.71
1/26/2024,Groceries,166,163.53
1/27/2024,Groceries,183,166.91
1/28/2024,Groceries,83,85.89
1/29/2024,Groceries,123,121.92
1/30/2024,Groceries,29,74.1
9/3/2023,Toys,52,82.19
9/4/2023,Toys,75,86.09
9/5/2023,Toys,77,102.94
9/6/2023,Toys,68,103.15
9/7/2023,Toys,81,100.98
9/8/2023,Toys,89,80.93
9/9/2023,Toys,119,108.85
9/10/2023,Toys,98,87.64
9/11/2023,Toys,107,122.34
9/12/2023,Toys,73,78.5
9/13/2023,Toys,89,91.7
9/14/2023,Toys,80,91.93
9/15/2023,Toys,100,113.91
9/16/2023,Toys,73,78.68
9/17/2023,Toys,122,121.73
9/18/2023,Toys,39,68.89
9/19/2023,Toys,89,84.27
9/20/2023,Toys,95,87.41
9/21/2023,Toys,80,77.86
9/22/2023,Toys,130,113.89
9/23/2023,Toys,130,136.11
9/24/2023,Toys,62,85.63
9/25/2023,Toys,124,128
9/26/2023,Toys,85,101.85
9/27/2023,Toys,134,138.37
9/28/2023,Toys,74,96.67
9/29/2023,Toys,111,123.41
9/30/2023,Toys,100,97.71
